,Date,Open,High,Low,Close*,Adj Close**,Volume
210,2020-11-06,1.41,1.94,1.4,1.91,1.91,22547497.0
211,2020-11-07,1.91,2.48,1.84,2.03,2.03,51426100.0
212,2020-11-08,2.03,2.26,1.97,2.16,2.16,25931043.0
213,2020-11-09,2.16,2.19,1.96,2.03,2.03,18210626.0
214,2020-11-10,2.03,2.31,2.01,2.25,2.25,16170833.0
215,2020-11-11,2.25,2.28,1.97,2.0,2.0,13877949.0
216,2020-11-12,2.0,2.05,1.83,1.9,1.9,11506048.0
217,2020-11-13,1.9,2.06,1.9,2.02,2.02,11621744.0
218,2020-11-14,2.02,2.03,1.88,1.92,1.92,8134593.0
219,2020-11-15,1.92,2.21,1.92,2.04,2.04,18621333.0
220,2020-11-16,2.04,2.36,1.99,2.26,2.26,22156135.0
221,2020-11-17,2.28,2.32,2.13,2.2,2.2,17074175.0
222,2020-11-18,2.2,2.21,2.01,2.12,2.12,14629648.0
223,2020-11-19,2.12,2.18,2.02,2.08,2.08,10155987.0
224,2020-11-20,2.08,2.23,2.06,2.1,2.1,11113990.0
225,2020-11-21,2.1,2.5,2.05,2.38,2.38,20288343.0
226,2020-11-22,2.38,2.4,2.05,2.14,2.14,16416065.0
227,2020-11-23,2.14,2.35,2.12,2.28,2.28,15487339.0
228,2020-11-24,2.28,2.47,2.14,2.27,2.27,25036626.0
229,2020-11-25,2.27,2.48,2.18,2.27,2.27,24870951.0
230,2020-11-26,2.27,2.29,1.74,1.9,1.9,33038223.0
231,2020-11-27,1.9,1.97,1.78,1.86,1.86,13307808.0
232,2020-11-28,1.86,1.94,1.81,1.89,1.89,11661883.0
233,2020-11-29,1.89,1.94,1.86,1.92,1.92,6139511.0
234,2020-11-30,1.92,2.01,1.91,1.97,1.97,8716571.0
235,2020-12-01,1.97,2.13,1.93,1.98,1.98,12847022.0
236,2020-12-02,1.98,2.19,1.96,2.12,2.12,15849828.0
237,2020-12-03,2.12,2.22,2.09,2.1,2.1,18106122.0
238,2020-12-04,2.1,2.11,1.85,1.86,1.86,9019864.0
239,2020-12-05,1.86,1.98,1.83,1.98,1.98,7750781.0
240,2020-12-06,1.98,1.98,1.82,1.85,1.85,7167230.0
241,2020-12-07,1.85,1.9,1.81,1.83,1.83,6425070.0
242,2020-12-08,1.83,1.83,1.65,1.67,1.67,11304051.0
243,2020-12-09,1.66,1.67,1.5,1.66,1.66,10461119.0
244,2020-12-10,1.66,1.67,1.55,1.57,1.57,6167983.0
245,2020-12-11,1.57,1.58,1.44,1.44,1.44,8273918.0
246,2020-12-12,1.44,1.54,1.44,1.49,1.49,7085231.0
247,2020-12-13,1.49,1.64,1.46,1.57,1.57,8389349.0
248,2020-12-14,1.57,1.62,1.52,1.59,1.59,8672052.0
249,2020-12-15,1.59,1.8,1.59,1.76,1.76,19470080.0
250,2020-12-16,1.76,1.79,1.61,1.78,1.78,18277631.0
251,2020-12-17,1.78,1.8,1.66,1.68,1.68,15461477.0
252,2020-12-18,1.68,1.71,1.64,1.7,1.7,7879397.0
253,2020-12-19,1.7,1.76,1.66,1.67,1.67,9095045.0
254,2020-12-20,1.67,1.68,1.53,1.56,1.56,9093229.0
255,2020-12-21,1.56,1.62,1.5,1.54,1.54,8333991.0
256,2020-12-22,1.54,1.57,1.47,1.49,1.49,11066565.0
257,2020-12-23,1.49,1.51,1.09,1.21,1.21,16776307.0
258,2020-12-24,1.21,1.38,1.17,1.36,1.36,9236939.0
259,2020-12-25,1.36,1.45,1.35,1.45,1.45,9359549.0
260,2020-12-26,1.45,1.45,1.31,1.32,1.32,6798656.0
261,2020-12-27,1.33,1.41,1.27,1.3,1.3,12286531.0
262,2020-12-28,1.3,1.52,1.29,1.52,1.52,12668150.0
263,2020-12-29,1.52,1.73,1.44,1.67,1.67,26355259.0
264,2020-12-30,1.67,1.68,1.53,1.54,1.54,12663616.0
265,2020-12-31,1.54,1.55,1.43,1.51,1.51,12763260.0
266,2021-01-01,1.51,1.86,1.5,1.84,1.84,25722549.0
267,2021-01-02,1.85,1.99,1.72,1.8,1.8,31671064.0
